player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,nb_saisons,country,is_french,is_european,continent
Evan Turner,26.5,200.41,98.43,70.5,9.12,4.44,3.35,-2.42,0.02,0.16,0.19,0.49,0.2,10,USA,False,False,Amérique du Nord
Evric Gray,27.0,200.66,106.59,5.0,2.6,0.6,0.4,17.5,0.03,0.05,0.19,0.39,0.06,1,USA,False,False,Amérique du Nord
Fab Melo,23.0,213.36,115.67,6.0,1.2,0.5,0.0,-9.1,0.0,0.08,0.12,0.45,0.0,1,Brazil,False,False,Amérique du Sud
Fabricio Oberto,33.5,208.28,111.13,56.0,2.73,2.97,0.77,-2.97,0.1,0.15,0.11,0.59,0.08,6,Argentina,False,False,Amérique du Sud
Facundo Campazzo,31.0,177.8,88.45,46.0,4.17,1.4,2.7,1.73,0.01,0.07,0.14,0.47,0.26,3,Argentina,False,False,Amérique du Sud
Felipe Lopez,25.5,196.85,88.45,62.25,6.05,2.47,1.02,-5.58,0.06,0.11,0.19,0.49,0.1,4,Dominican Republic,False,False,Amérique du Sud
Felton Spencer,31.5,213.36,123.23,40.5,2.35,2.63,0.15,-2.28,0.12,0.19,0.14,0.5,0.02,6,USA,False,False,Amérique du Nord
Feron Hunt,22.0,203.2,88.45,2.0,0.0,0.5,0.5,-10.1,0.09,0.0,0.14,0.0,0.2,1,USA,False,False,Amérique du Nord
Festus Ezeli,24.67,210.82,118.69,56.67,4.6,4.33,0.4,6.3,0.14,0.19,0.16,0.54,0.04,3,Nigeria,False,False,Afrique
Flip Murray,26.5,191.14,88.9,60.88,8.84,1.86,2.09,-1.55,0.02,0.08,0.24,0.47,0.17,8,USA,False,False,Amérique du Nord
Francisco Elson,32.0,213.36,107.35,52.44,3.04,2.91,0.48,-5.44,0.07,0.18,0.13,0.47,0.06,9,Netherlands,False,True,Europe
Francisco Garcia,28.5,200.66,89.36,54.9,7.36,2.4,1.33,-3.19,0.02,0.11,0.16,0.52,0.1,10,Dominican Republic,False,False,Amérique du Sud
Frank Brickowski,37.0,205.74,108.86,17.0,4.8,2.0,0.9,-22.4,0.03,0.13,0.17,0.51,0.12,1,USA,False,False,Amérique du Nord
Frank Jackson,23.0,190.5,92.99,42.8,6.96,1.88,1.0,-7.68,0.04,0.13,0.21,0.43,0.12,5,USA,False,False,Amérique du Nord
Frank Kaminsky,26.5,213.36,109.09,51.62,8.54,3.78,1.52,1.3,0.04,0.17,0.19,0.56,0.13,8,USA,False,False,Amérique du Nord
Frank Mason,25.5,180.34,86.18,25.75,6.55,2.17,2.8,-7.28,0.03,0.1,0.21,0.49,0.28,4,USA,False,False,Amérique du Nord
Frank Ntilikina,21.5,194.31,89.96,52.67,4.6,1.67,2.0,-1.47,0.02,0.08,0.15,0.47,0.16,6,France,True,True,Europe
Frank Williams,24.0,190.5,95.1,28.67,1.97,0.83,1.67,-13.1,0.02,0.08,0.16,0.34,0.31,3,USA,False,False,Amérique du Nord
Frankie King,25.0,185.42,83.91,7.0,2.9,2.0,0.7,1.4,0.06,0.16,0.13,0.52,0.11,1,USA,False,False,Amérique du Nord
Franz Wagner,21.5,207.14,98.4,76.5,20.08,4.97,3.42,1.45,0.04,0.15,0.23,0.58,0.17,4,Germany,False,True,Europe
Fred Hoiberg,28.0,194.45,93.84,58.44,5.3,2.54,1.5,-1.09,0.02,0.15,0.14,0.55,0.13,9,USA,False,False,Amérique du Nord
Fred Jones,27.0,187.96,100.05,61.43,6.81,2.04,2.13,-4.51,0.02,0.08,0.15,0.52,0.15,7,USA,False,False,Amérique du Nord
Fred Roberts,36.0,208.28,98.88,12.0,1.8,0.8,0.0,-13.1,0.05,0.18,0.26,0.52,0.0,1,USA,False,False,Amérique du Nord
Fred VanVleet,26.0,183.97,88.97,59.57,14.19,3.23,5.1,6.63,0.01,0.1,0.21,0.53,0.25,7,USA,False,False,Amérique du Nord
Fred Vinson,29.0,193.04,86.18,8.0,1.6,0.1,0.0,22.6,0.0,0.02,0.23,0.36,0.0,1,USA,False,False,Amérique du Nord
Freddie Gillespie,24.5,205.74,111.13,14.5,3.95,4.45,0.55,-11.6,0.1,0.16,0.11,0.49,0.05,2,USA,False,False,Amérique du Nord
Furkan Aldemir,23.0,208.28,108.86,41.0,2.3,4.3,0.7,-10.4,0.14,0.21,0.08,0.52,0.08,1,Turkey,False,True,Europe
Furkan Korkmaz,22.5,200.66,89.81,48.83,6.28,1.85,1.08,-2.45,0.02,0.11,0.18,0.52,0.1,6,Turkey,False,True,Europe
Gabe Pruitt,22.5,193.04,77.11,31.0,2.05,0.7,0.85,-1.85,0.02,0.1,0.19,0.41,0.21,2,USA,False,False,Amérique du Nord
Gabe Vincent,25.5,189.86,90.72,48.75,6.32,1.42,1.9,-4.85,0.01,0.06,0.18,0.47,0.15,4,USA,False,False,Amérique du Nord
Gabe York,28.5,190.5,86.18,2.5,6.0,1.5,1.85,1.4,0.0,0.12,0.18,0.49,0.17,2,USA,False,False,Amérique du Nord
Gabriel Deck,26.5,198.12,104.78,8.5,5.5,2.45,1.55,-13.15,0.04,0.1,0.14,0.6,0.15,2,Argentina,False,False,Amérique du Sud
Gabriel Lundberg,27.0,193.04,92.08,4.0,3.3,1.8,2.8,18.3,0.04,0.12,0.19,0.34,0.27,1,Denmark,False,True,Europe
Gal Mekel,26.5,190.5,86.64,17.5,1.95,0.6,2.65,-1.9,0.01,0.06,0.21,0.28,0.37,2,Israel,False,True,Europe
Garret Siler,24.0,210.82,138.35,21.0,2.1,1.3,0.1,-6.1,0.17,0.15,0.2,0.55,0.04,1,USA,False,False,Amérique du Nord
Garrett Temple,30.85,197.53,88.28,55.08,5.74,2.1,1.59,-3.44,0.02,0.09,0.15,0.51,0.13,13,USA,False,False,Amérique du Nord
Garrison Mathews,24.5,196.22,97.52,50.25,6.42,1.75,0.62,-2.7,0.02,0.08,0.13,0.63,0.05,4,USA,False,False,Amérique du Nord
Garth Joseph,27.0,218.44,138.8,4.0,0.5,0.5,0.3,-35.0,0.11,0.0,0.21,0.17,0.1,1,USA,False,False,Amérique du Nord
Gary Clark,25.5,199.39,102.06,42.5,3.1,2.55,0.52,-3.22,0.05,0.14,0.1,0.51,0.05,4,USA,False,False,Amérique du Nord
Gary Forbes,26.5,200.66,99.79,55.5,5.9,1.95,0.95,-2.9,0.04,0.12,0.21,0.52,0.12,2,Panama,False,False,Autre
